day_number,AN1_50S_WS_Avg,AN2_50N_WS_Avg,AN3_30S_WS_Avg,AN4_10S_WS_Avg,AN1_50S_WS_Std,AN2_50N_WS_Std,AN3_30S_WS_Std,AN4_10S_WS_Std,AN1_50S_WS_3SA_Max,AN2_50N_WS_3SA_Max,AN3_30S_WS_3SA_Max,AN4_10S_WS_3SA_Max,WV1_48N_WD_AVG,WV1_48N_WV_STD,WV2_28N_WD_AVG,WV2_28N_WV_STD,WV3_8N_WD_AVG,WV3_8N_WV_STD,ANx_80_WS_min_Avg,ANx_80_WS_Avg,ANx_80_WS_max_Avg,TRH1_50_TMP_Avg,TRH1_50_RH_Avg,TRH2_10_RH_Avg,BAR1_50_PRES_Avg,BAR2_10_PRES_Avg
32,4.515375,4.436791666666667,4.3885,4.212458333333333,0.4114166666666667,0.40710416666666666,0.3943541666666666,0.421,5.539687499999999,5.4543541666666675,5.412520833333333,5.262229166666667,115.32895833333333,5.699645833333332,120.91208333333333,6.2718750000000005,139.97916666666666,6.821395833333334,3.3655000000000004,4.633520833333333,6.014208333333333,11.237083333333333,78.06020833333334,79.06666666666666,1014.4166666666666,1018.7708333333334
33,7.267833333333333,7.1716041666666674,7.082416666666667,6.426749999999999,0.5271666666666667,0.5358958333333333,0.568125,0.8577916666666666,8.414979166666667,8.314083333333334,8.348708333333333,8.304770833333334,217.85995833333334,5.108625,217.33804166666667,5.210541666666667,227.36104166666667,11.048625000000001,5.2528958333333335,7.6173125,10.094291666666667,8.7603125,84.25750000000001,86.64979166666666,1015.1041666666666,1019.5208333333334
34,7.000085106382979,6.949978723404255,6.39,5.887021276595744,0.5262765957446809,0.4762127659574468,0.6243191489361702,0.8393617021276596,8.216872340425532,8.011340425531916,7.811276595744681,7.800787234042553,36.45085106382979,4.264148936170213,38.89595744680851,4.693297872340426,57.40212765957447,7.533297872340426,4.730063829787234,7.34068085106383,10.319787234042552,10.769787234042553,73.92787234042554,75.06148936170213,1020.5957446808511,1025.127659574468
35,5.704729166666667,5.594166666666666,5.294291666666667,4.9255,0.4564791666666667,0.41739583333333335,0.4941041666666666,0.7596666666666666,6.777125000000001,6.5718958333333335,6.4768125,6.537583333333334,95.56041666666665,9.955770833333334,95.48083333333334,8.1724375,113.23375,10.429104166666667,3.88975,5.923229166666666,8.485125,10.373333333333333,78.72208333333333,79.908125,1020.4791666666666,1024.8125
36,7.2858936170212765,7.133744680851064,6.759659574468086,6.014382978723404,0.4682127659574468,0.43897872340425537,0.5316595744680851,0.7902553191489362,8.365872340425533,8.142617021276596,8.043574468085106,7.807382978723404,27.05859574468085,3.38431914893617,28.71155319148936,3.6963191489361704,46.473404255319146,6.8958085106382985,5.124723404255319,7.65931914893617,10.462127659574469,11.267659574468086,81.9908510638298,82.06361702127658,1018.8297872340426,1023.063829787234
37,9.717608695652174,9.409369565217391,9.103326086956521,7.9164130434782605,0.5670869565217391,0.5488478260869565,0.7043695652173914,0.9838913043478261,10.957826086956521,10.586739130434783,10.690217391304348,10.036304347826087,21.93891304347826,3.216934782608696,23.43673913043478,3.5648043478260867,41.293260869565216,7.524369565217391,7.3759999999999994,10.233695652173912,13.117173913043478,11.17195652173913,82.00934782608695,82.42086956521739,1019.6304347826087,1023.8478260869565
38,9.957395833333333,9.674229166666667,9.7229375,8.135479166666666,0.5918125,0.5804791666666667,0.6881666666666667,0.9511666666666666,11.234375,10.929166666666667,11.184166666666668,10.389291666666667,13.859729166666668,3.2885416666666667,14.6133125,3.642416666666667,31.027083333333334,6.323645833333334,7.829208333333334,10.678791666666667,13.530833333333334,11.137291666666668,80.61541666666666,80.693125,1017.6875,1021.7291666666666
39,7.227666666666667,7.012208333333334,6.73675,5.827437499999999,0.4349791666666667,0.4242916666666667,0.49100000000000005,0.7306041666666667,8.230104166666667,8.005583333333332,7.890083333333333,7.529729166666667,20.117916666666666,3.301604166666667,21.05825,3.5728125,37.87979166666667,6.615895833333333,5.474208333333333,7.629333333333334,9.807729166666666,11.363750000000001,88.73541666666667,88.16875,1017.3125,1021.8125
40,3.960770833333333,3.8586666666666667,3.758729166666667,3.4718125,0.257625,0.2588958333333333,0.29110416666666666,0.43925,4.5675,4.466541666666667,4.4500416666666665,4.406562500000001,127.61285416666668,4.6332708333333334,134.998125,5.013770833333333,114.09927083333334,7.347958333333334,2.7451666666666665,4.109458333333333,5.562729166666667,11.016666666666666,88.96166666666666,88.42083333333333,1019.5833333333334,1024.2708333333333
41,5.772541666666666,5.7277708333333335,5.515229166666667,5.325479166666667,0.46249999999999997,0.5099166666666667,0.4528125,0.48214583333333333,6.926312500000001,6.924416666666667,6.657145833333334,6.509583333333333,238.22083333333333,4.8566666666666665,236.98541666666668,4.975895833333333,253.7145833333333,7.253770833333333,4.179708333333333,5.942625,7.733979166666667,10.149333333333333,80.41916666666667,82.215625,1017.2916666666666,1021.7083333333334
